 TIME                    	Tin                      	Tout                     	Gas                      	signal                   	elec                     	RHin                     	RHout                    	occ                      	rwt                      	swt                      	setpoint                 	
 HOURS              	NAV                 	øC                  	kJ/hr               	NAV                 	NAV                 	NAV                 	%                   	NAV                 	NAV                 	øC                  	NAV                 	
  +0.0000000000000000E+00	  +2.2000000000000000E+01	  -1.9000000000000001E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +4.1111999999999998E+03	  +5.0000000000000000E+01	  +5.4000000000000000E+01	  +1.0000000000000000E+00	  +1.5000000000000000E+01	  +1.5000000000000000E+01	  +4.0000000000000000E+01	
  +1.6666666666666666E-01	  +2.2346476203180906E+01	  -1.3500000000000001E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +4.7214000000000005E+03	  +4.8283466007699992E+01	  +5.6083333333333329E+01	  +1.0000000000000000E+00	  +1.5000000000000000E+01	  +1.5000000000000000E+01	  +6.0000000000000000E+01	
  +3.3333333333333331E-01	  +2.2194970709087823E+01	  -2.5000000000000028E-01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +2.8476000000000013E+03	  +4.7780524792575356E+01	  +6.0250000000000000E+01	  +1.0000000000000000E+00	  +1.9932718782224249E+01	  +1.9932718782224249E+01	  +5.0000000000000000E+01	
  +5.0000000000000000E-01	  +2.0930426247900762E+01	  +8.5000000000000020E-01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +3.6180000000000001E+02	  +5.0716762275023477E+01	  +6.4416666666666671E+01	  +1.0000000000000000E+00	  +1.9997410304001335E+01	  +1.9997410304001335E+01	  +7.0000000000000000E+01	
  +6.6666666666666663E-01	  +2.0113908314162199E+01	  +1.9500000000000002E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +3.1319999999999999E+02	  +5.2507560437108189E+01	  +6.8583333333333329E+01	  +1.0000000000000000E+00	  +1.9105664881807886E+01	  +1.9105664881807886E+01	  +4.5000000000000000E+01	
  +8.3333333333333337E-01	  +2.0076218051289146E+01	  +3.0500000000000007E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +2.4840000000000001E+02	  +5.1932570519909213E+01	  +7.2750000000000000E+01	  +1.0000000000000000E+00	  +1.9849740204643698E+01	  +1.9849740204643698E+01	  +5.5000000000000000E+01	
  +1.0000000000000000E+00	  +1.9996065943523504E+01	  +4.1500000000000004E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +2.0880000000000001E+02	  +5.1630038915449816E+01	  +7.6916666666666671E+01	  +1.0000000000000000E+00	  +1.9351510143217247E+01	  +1.9351510143217247E+01	  +6.0000000000000000E+01	
  +1.1666666666666667E+00	  +1.9903483172801177E+01	  +4.6749999999999998E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +1.6559999999999999E+02	  +5.1465616284039676E+01	  +7.9000000000000000E+01	  +1.0000000000000000E+00	  +1.9652949957045482E+01	  +1.9652949957045482E+01	  +7.0000000000000000E+01	
  +1.3333333333333333E+00	  +1.9903667779555285E+01	  +4.6250000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +1.7279999999999998E+02	  +5.1037820172436504E+01	  +7.9000000000000000E+01	  +1.0000000000000000E+00	  +1.9481413848553821E+01	  +1.9481413848553821E+01	  +7.0000000000000000E+01	
  +1.5000000000000000E+00	  +1.9915883273276627E+01	  +4.5750000000000002E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +2.1780000000000001E+02	  +5.0584089728445257E+01	  +7.9000000000000000E+01	  +1.0000000000000000E+00	  +1.9590898150351912E+01	  +1.9590898150351912E+01	  +5.5000000000000000E+01	
  +1.6666666666666667E+00	  +1.9930652168663464E+01	  +4.5250000000000004E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +2.3219999999999996E+02	  +5.0134250075345953E+01	  +7.9000000000000000E+01	  +1.0000000000000000E+00	  +1.9530423925565191E+01	  +1.9530423925565191E+01	  +6.0000000000000000E+01	
  +1.8333333333333333E+00	  +1.9921367201663205E+01	  +4.4750000000000005E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +1.8900000000000000E+02	  +4.9770252120191522E+01	  +7.9000000000000000E+01	  +1.0000000000000000E+00	  +1.9575063184153706E+01	  +1.9575063184153706E+01	  +7.5000000000000000E+01	
  +2.0000000000000000E+00	  +1.9801414924506233E+01	  +4.4249999999999998E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +1.6380000000000010E+02	  +4.9756562818601346E+01	  +7.9000000000000000E+01	  +1.0000000000000000E+00	  +1.9553043449367433E+01	  +1.9553043449367433E+01	  +7.0000000000000000E+01	
